Cluster ID,Link Score,source file,id,title,authors,venue,year
1530,0.963204,0,304572,DOMINO: databases fOr MovINg Objects tracking,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data,1999
969,0.97964,0,304250,The need for distributed asynchronous transactions,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data,1999
1372,0.97437,0,304248,Versions and workspaces in Microsoft repository,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data,1999
1819,,0,304569,Data integration and warehousing in Telecom Italia,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data,1999
1820,,0,304568,Improving OLTP data quality using data warehouse mechanisms,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data,1999
1821,,0,304579,SERF: ODMG-based generic re-structuring facility,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",International Conference on Management of Data,1999
1585,0.9597,0,304578,"PowerBookmarks: a system for personalizable Web information organization, sharing, and management","Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data,1999
1261,0.976621,0,304581,The Aqua approximate query answering system,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999
1051,0.978527,0,304580,TAM: a system for dynamic transactional activity management,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data,1999
1513,0.963873,0,304575,Exploratory mining via constrained frequent set queries,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",International Conference on Management of Data,1999
1822,,0,304574,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,1999
1823,,0,304577,Phoenix: making applications robust,"Roger Barga, David B. Lomet",International Conference on Management of Data,1999
1218,0.977062,0,304576,Nodose version 2.0,"Brad Adelberg, Matthew Denny",International Conference on Management of Data,1999
1748,0.919002,0,304235,Bringing object-relational technology to the mainstream,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",International Conference on Management of Data,1999
999,0.979068,0,304236,Implementing the spirit of SQL-99,Paul Brown,International Conference on Management of Data,1999
998,0.979068,0,304233,Managing Web data,Dan Suciu,International Conference on Management of Data,1999
1786,0.81019,0,304234,"O-O, what's happening to DB2?","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data,1999
1298,0.976201,0,304231,Hypertext databases and data mining,Soumen Chakrabarti,International Conference on Management of Data,1999
1257,0.976621,0,304232,Clustering methods for large databases: from the past to the future,"Alexander Hinneburg, Daniel A. Keim",International Conference on Management of Data,1999
1824,,0,304229,Petabyte databases,Dirk D&#252;llmann,International Conference on Management of Data,1999
996,0.979068,0,304230,A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999
1825,,0,304245,Microsoft site server (commerce ed.): Talk-slides available at the conference,Bassel Ojjeh,International Conference on Management of Data,1999
1826,,0,304246,E-commerce database issues and experience: (talk-slides available at at the conference),Anand Rajaraman,International Conference on Management of Data,1999
1100,0.978013,0,304243,Merge replication in Microsoft's SQL server 7.0,Brad Hammond,International Conference on Management of Data,1999
1827,,0,304244,In-memory data management for consumer transactions the timesten approach,CORPORATE TimesTen Team,International Conference on Management of Data,1999
1043,0.978527,0,304241,EMC information sharing: direct access to MVS data from UNIX and NT,Walt Kohler,International Conference on Management of Data,1999
1603,0.957283,0,304242,Daytona and the foruth-generation language cymbal,Rick Greer,International Conference on Management of Data,1999
1828,,0,304239,DataBlitz storage manager: main-memory database performance for critical applications,"J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar",International Conference on Management of Data,1999
1563,0.961254,0,304240,Indexing medium-dimensionality data in Oracle,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",International Conference on Management of Data,1999
1829,,0,304220,Storing semistructured data with STORED,"Alin Deutsch, Mary Fernandez, Dan Suciu",International Conference on Management of Data,1999
963,0.97964,0,304219,Efficient geometry-based similarity search of 3D spatial databases,Daniel A. Keim,International Conference on Management of Data,1999
1253,0.976621,0,304218,A new method for similarity indexing of market basket data,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",International Conference on Management of Data,1999
1143,0.977525,0,304217,WALRUS: a similarity retrieval algorithm for image databases,"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999
1830,,0,304216,Shrinking the warehouse update Window,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",International Conference on Management of Data,1999
1142,0.977525,0,304215,DynaMat: a dynamic view management system for data warehouses,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data,1999
1720,0.933142,0,304214,Bottom-up computation of sparse and Iceberg CUBE,"Kevin Beyer, Raghu Ramakrishnan",International Conference on Management of Data,1999
994,0.979068,0,304213,Client-site query extensions,"Tobias Mayr, Praveen Seshadri",International Conference on Management of Data,1999
1831,,0,304228,Data management issues in electronic commerce,M. Tamer &#214;zsu,International Conference on Management of Data,1999
1404,0.972266,0,304227,"Of crawlers, portals, mice, and men: is there more to mining the Web?","Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data,1999
1798,0.669115,0,304226,"Honey, I shrunk the database: footprint, mobility, and beyond",Praveen Seshadri,International Conference on Management of Data,1999
1252,0.976621,0,304225,A layered architecture for querying dynamic Web content,"Hasan Davulcu, Juliana Freire, Michael Kifer, I. V. Ramakrishnan",International Conference on Management of Data,1999
1832,,0,304224,Automatic discovery of language models for text databases,"Jamie Callan, Margaret Connell, Aiqun Du",International Conference on Management of Data,1999
1833,,0,304223,Record-boundary discovery in Web documents,"D. W. Embley, Y. Jiang, Y.-K. Ng",International Conference on Management of Data,1999
1378,0.97405,0,304222,Query rewriting for semistructured data,"Yannis Papakonstantinou, Vasilis Vassalos",International Conference on Management of Data,1999
1580,0.959722,0,304221,Computing capabilities of mediators,"Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",International Conference on Management of Data,1999
993,0.979068,0,335378,High speed on-line backup when using logical log operations,David B. Lomet,International Conference on Management of Data,2000
1834,,0,335379,Efficient resumption of interrupted warehouse loads,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",International Conference on Management of Data,2000
1600,0.957688,0,335381,On-line reorganization in object databases,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data,2000
1213,0.977062,0,335383,Finding generalized projected clusters in high dimensional spaces,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data,2000
1095,0.978013,0,335384,Density biased sampling: an improved method for data mining and clustering,"Christopher R. Palmer, Christos Faloutsos",International Conference on Management of Data,2000
1579,0.959722,0,335388,LOF: identifying density-based local outliers,"Markus M. Breunig, Hans-Peter Kriegel, Raymond T. Ng, J&#246;rg Sander",International Conference on Management of Data,2000
1377,0.97405,0,335390,Answering complex SQL queries using automatic summary tables,"Markos Zaharioudakis, Roberta Cochrane, George Lapis, Hamid Pirahesh, Monica Urata",International Conference on Management of Data,2000
961,0.97964,0,335391,Synchronizing a database to improve freshness,"Junghoo Cho, Hector Garcia-Molina",International Conference on Management of Data,2000
1717,0.933999,0,335393,How to roll a join: asynchronous incremental view maintenance,"Kenneth Salem, Kevin Beyer, Bruce Lindsay, Roberta Cochrane",International Conference on Management of Data,2000
1680,0.947991,0,335395,On wrapping query languages and efficient XML integration,"Vassilis Christophides, Sophie Cluet, J&#233;r&#466;me Sim&#232;on",International Conference on Management of Data,2000
1087,0.978013,0,335405,XMill: an efficient compressor for XML data,"Hartmut Liefke, Dan Suciu",International Conference on Management of Data,2000
1568,0.960923,0,335409,XTRACT: a system for extracting document type descriptors from XML documents,"Minos Garofalakis, Aristides Gionis, Rajeev Rastogi, S. Seshadri, Kyuseok Shim",International Conference on Management of Data,2000
1835,,0,335412,Spatial join selectivity using power laws,"Christos Faloutsos, Bernhard Seeger, Agma Traina, Caetano Traina, Jr.",International Conference on Management of Data,2000
1729,0.931465,0,335413,MOCHA: a self-extensible database middleware system for distributed data sources,"Manuel Rodr&#237;guez-Mart&#237;nez, Nick Roussopoulos",International Conference on Management of Data,2000
1204,0.977062,0,335414,Closest pair queries in spatial databases,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",International Conference on Management of Data,2000
988,0.979068,0,335415,Influence sets based on reverse nearest neighbor queries,"Flip Korn, S. Muthukrishnan",International Conference on Management of Data,2000
752,0.982195,0,331986,Security of random data perturbation methods,"Krishnamurty Muralidhar, Rathindra Sarathy",ACM Transactions on Database Systems (TODS) ,1999
376,0.984086,0,331984,Improving database design through the analysis of relationships,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS) ,1999
300,0.98446,0,331992,The SIFT information dissemination system,"Tak W. Yan, Hector Garcia-Molina",ACM Transactions on Database Systems (TODS) ,1999
485,0.983731,0,331989,An ontological analysis of the relationship construct in conceptual modeling,"Yair Wand, Veda C. Storey, Ron Weber",ACM Transactions on Database Systems (TODS) ,1999
1554,0.961602,0,333609,Chorochronos: a research network for spatiotemporal database systems,"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",ACM SIGMOD Record ,1999
1789,0.805161,0,333608,Engineering federated information systems: report of EEFIS '99 workshop,"S. Conrad, W. Hasselbring, U. Hohenstein, R.-D. Kutsche, M. Roantree, G. Saake, F. Saltor",ACM SIGMOD Record ,1999
387,0.983978,0,333611,First-class views: a key to user-centered computing,"Arnon Rosenthal, Edward Sciore",ACM SIGMOD Record ,1999
231,0.984722,0,333610,Cost estimation of user-defined methods in object-relational database systems,"Jihad Boulos, Kinji Ono",ACM SIGMOD Record ,1999
140,0.985279,0,333613,Distributed transactions in practice,"Prabhu Ram, Lyman Do, Pamela Drew",ACM SIGMOD Record ,1999
1411,0.971532,0,333612,On mutli-resolution document transmission in mobile Web,"Stanley M. T. Yau, Hong Va Leong, Dennis McLeod, Antonio Si",ACM SIGMOD Record ,1999
273,0.984462,0,333615,An overview and classification of mediated query systems,"Ruxandra Domenig, Klaus R. Dittrich",ACM SIGMOD Record ,1999
386,0.983978,0,333614,"A distributed scientific data archive using the Web, XML and SQL/MED","Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",ACM SIGMOD Record ,1999
987,0.979068,0,335372,Mining frequent patterns without candidate generation,"Jiawei Han, Jian Pei, Yiwen Yin",International Conference on Management of Data,2000
1248,0.976635,0,333616,Database research at the University of Oklahoma,"Le Gruenwald, Leonard Brown, Ravi Dirckze, Sylvain Guinepain, Carlos Sanchez, Brian Summers, Sirirut Vanichayobon",ACM SIGMOD Record ,1999
1836,,0,335376,Turbo-charging vertical mining of large databases,"Pradeep Shenoy, Jayant R. Haritsa, S. Sundarshan, Gaurav Bhalotia, Mayank Bawa, Devavrat Shah",International Conference on Management of Data,2000
1573,0.960469,0,335375,Data mining on an OLTP system (nearly) for free,"Erik Riedel, Christos Faloutsos, Gregory R. Ganger, David F. Nagle",International Conference on Management of Data,2000
1837,,0,310065,A study on data point search for HG-trees,"Joseph Kuan, Paul Lewis",ACM SIGMOD Record ,1999
385,0.983978,0,310066,The OASIS multidatabase prototype,"Mark Roantree, John Murphy, Wilhelm Hasselbring",ACM SIGMOD Record ,1999
1618,0.955269,0,310063,Efficient materialization and use of views in data warehouses,"M&#225;rcio Farias de Souza, Marcus Costa Sampaio",ACM SIGMOD Record ,1999
168,0.984994,0,310064,Design principles for data-intensive Web sites,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",ACM SIGMOD Record ,1999
1430,0.969702,0,310075,"SQL: 1999, formerly known as SQL3","Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,1999
594,0.983072,0,310710,Broadcast protocols to support efficient retrieval from databases by mobile users,"Anindya Datta, Debra E. VanderMeer, Aslihan Celik, Vijay Kumar",ACM Transactions on Database Systems (TODS) ,1999
1793,0.780646,0,310067,Video anywhere: a system for searching and managing distributed heterogeneous video assets,"Amit Sheth, Clemens Bertram, Kshitij Shah",ACM SIGMOD Record ,1999
1838,,0,310071,NSF workshop on industrial/academic cooperation in database systems,"Mike Carey, Len Seligman",ACM SIGMOD Record ,1999
750,0.982474,0,320249,Optimization of queries with user-defined predicates,"Surajit Chaudhuri, Kyuseok Shim",ACM Transactions on Database Systems (TODS) ,1999
1508,0.964253,0,320252,GlOSS: text-source discovery over the Internet,"Luis Gravano, H&#233;ctor Garc&#237;a-Molina, Anthony Tomasic",ACM Transactions on Database Systems (TODS) ,1999
507,0.983393,0,310712,Database design for incomplete relations,"Mark Levene, George Loizou",ACM Transactions on Database Systems (TODS) ,1999
492,0.983731,0,310715,Temporal FDs on complex objects,Jef Wijsen,ACM Transactions on Database Systems (TODS) ,1999
1839,,0,328959,Indexing large metric spaces for similarity search queries,"Tolga Bozkaya, Meral Ozsoyoglu",ACM Transactions on Database Systems (TODS) ,1999
1423,0.970172,0,328996,Specification and implementation of exceptions in workflow management systems,"Fabio Casati, Stefano Ceri, Stefano Paraboschi, Guiseppe Pozzi",ACM Transactions on Database Systems (TODS) ,1999
1679,0.94802,0,320255,Distance browsing in spatial databases,"G&#237;sli R. Hjaltason, Hanan Samet",ACM Transactions on Database Systems (TODS) ,1999
1840,,0,328943,Type-checking OQL queries in the ODMG type systems,Suad Alag&#237;c,ACM Transactions on Database Systems (TODS) ,1999
193,0.984994,0,306141,The middleware muddle,David Ritter,ACM SIGMOD Record ,1998
1738,0.928813,0,306137,The Asilomar report on database research,"Phil Bernstein, Michael Brodie, Stefano Ceri, David DeWitt, Mike Franklin, Hector Garcia-Molina, Jim Gray, Jerry Held, Joe Hellerstein, H. V. Jagadish, Michael Lesk, Dave Maier, Jeff Naughton, Hamid Pirahesh, Mike Stonebraker, Jeff Ullman",ACM SIGMOD Record ,1998
582,0.983129,0,306133,Electronic market: the roadmap for university libraries and members to survive in the information jungle,"Michael Christoffel, Sebastian Pulkowski, Bethina Schmitt, Peter C. Lockemann",ACM SIGMOD Record ,1998
1670,0.949898,0,306129,An anonymous electronic commerce scheme with an off-line authority and untrusted agents,"Josep Domingo-Ferrer, Jordi Herrera-Joancomart&#237;",ACM SIGMOD Record ,1998
1841,,0,309870,Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",ACM SIGMOD Record ,1999
192,0.984994,0,309852,Semantic integration of environmental models for application to global information systems and decision-making,D. Scott Mackay,ACM SIGMOD Record ,1999
1842,,0,309849,Semantic interoperability in global information systems,"A. M. Ouksel, A. Sheth",ACM SIGMOD Record ,1999
484,0.983752,0,306144,"SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)","Andrew Eisenberg, Jim Melton",ACM SIGMOD Record ,1998
1401,0.972651,0,309895,Dynamic service matchmaking among agents in open information environments,"Katia Sycara, Matthias Klusch, Seth Widoff, Jianguo Lu",ACM SIGMOD Record ,1999
1843,,0,309886,Contextualizing the information space in federated digital libraries,"M. P. Papazoglou, J. Hoppenbrouwers",ACM SIGMOD Record ,1999
497,0.983395,0,309883,Semantic video indexing: approach and issues,Arun Hampapur,ACM SIGMOD Record ,1999
191,0.984994,0,309878,Unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,"Ken Smith, Leo Obrst",ACM SIGMOD Record ,1999
483,0.983752,0,310062,Report on the 13th Brazilian symposium on database systems (SBBD'98),"Mario A. Nascimento, Claudia Bauzer Medeiros",ACM SIGMOD Record ,1999
107,0.985895,0,310061,Semantic interoperability in information services: experiencing with CoopWARE,Avigdor Gal,ACM SIGMOD Record ,1999
1844,,0,310060,Agent-based semantic interoperability in infosleuth,"Jerry Fowler, Brad Perry, Marian Nodine, Bruce Bargmeyer",ACM SIGMOD Record ,1999
1845,,0,309897,Semantic integration of semistructured and structured data sources,"S. Bergamaschi, S. Castano, M. Vincini",ACM SIGMOD Record ,1999
1137,0.978013,0,277955,Keynote Address,Robert S. Epstein,International Conference on Management of Data,1995
1785,0.824827,0,277954,Keynote address,Larry J. Ellison,International Conference on Management of Data,1995
490,0.983731,0,278247,Object normal forms and dependency constraints for object-oriented schemata,"Zahir Tari, John Stokes, Stefano Spaccapietra",ACM Transactions on Database Systems (TODS) ,1997
1396,0.972807,0,278246,Database design with common sense business reasoning and learning,"Veda C. Storey, Roger H. L. Chiang, Debabrata Dey, Robert C. Goldstein, Shankar Sudaresan",ACM Transactions on Database Systems (TODS) ,1997
504,0.983393,0,277632,Inverted files versus signature files for text indexing,"Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao",ACM Transactions on Database Systems (TODS) ,1998
1683,0.947223,0,277629,Ensuring consistency in multidatabases by preserving two-level serializability,"Sharad Mehrotra, Rajeev Rastogi, Henry F. Korth, Abraham Silberschatz",ACM Transactions on Database Systems (TODS) ,1998
1422,0.970172,0,277641,Towards a theory of cost management for digital libraries and electronic commerce,"A. Prasad Sistla, Ouri Wolfson, Yelena Yesha, Robert Sloan",ACM Transactions on Database Systems (TODS) ,1998
755,0.982195,0,277639,Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS) ,1998
1083,0.978527,0,276392,A protein patent query system powered by Kleisli,"Jing Chen, Limsoon Wong, Louxin Zhang",International Conference on Management of Data,1998
1203,0.977094,0,276391,DTL's DataSpot: database exploration as easy as browsing the Web...,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data,1998
384,0.984086,0,277628,Multiview access protocols for large-scale replication,"Xiangning Liu, Abdelsalam Helal, Weimin Du",ACM Transactions on Database Systems (TODS) ,1998
754,0.982195,0,277627,Optimization techniques for queries with expensive methods,Joseph M. Hellerstein,ACM Transactions on Database Systems (TODS) ,1998
1692,0.944485,0,276388,MultiMediaMiner: a system prototype for multimedia data mining,"Osmar R. Za&#239;ane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",International Conference on Management of Data,1998
1468,0.966993,0,276387,Xmas: an extensible main-memory storage system for high-performance applications,"Jang Ho Park, Yong Sik Kwon, Ki Hong Kim, Sang Ho Lee, Byoung Dae Park, Sang Kyun Cha",International Conference on Management of Data,1998
1082,0.978527,0,276390,The IDEA Web lab,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi",International Conference on Management of Data,1998
1081,0.978527,0,276389,SuperSQL: an extended SQL for database publishing and presentation,Motomichi Toyama,International Conference on Management of Data,1998
1343,0.9758,0,276383,CONTROL: continuous output and navigation technology with refinement on-line,"Ron Avnur, Joseph M. Hellerstein, Bruce Lo, Chris Olston, Bhaskaran Raman, Vijayshankar Raman, Tali Roth, Kirk Wylie",International Conference on Management of Data,1998
1846,,0,276384,AMDB: an access method debugging tool,"Marcel Kornacker, Mehul Shah, Joseph M. Hellerstein",International Conference on Management of Data,1998
1847,,0,276385,User-oriented smart-cache for the Web: what you seek is what you get!,"Zo&#233; Lacroix, Arnaud Sahuguet, Raman Chandrasekar",International Conference on Management of Data,1998
1848,,0,276386,The multidimensional database system RasDaMan,"P. Baumann, A. Dehmel, P. Furtado, R. Ritsch, N. Widmann",International Conference on Management of Data,1998
1767,0.886465,0,276379,FlowBack: providing backward recovery for workflow management systems,"Bartek Kiepuszewski, Ralf Muhlberger, Maria E. Orlowska",International Conference on Management of Data,1998
1080,0.978527,0,276380,Providing database-like access to the Web using queries based on textual similarity,William W. Cohen,International Conference on Management of Data,1998
1586,0.959562,0,276381,Ariadne: a system for constructing mediators for Internet sources,"Jos&#233; Luis Ambite, Naveen Ashish, Greg Barish, Craig A. Knoblock, Steven Minton, Pragnesh J. Modi, Ion Muslea, Andrew Philpot, Sheila Tejada",International Conference on Management of Data,1998
1436,0.969286,0,276382,Capability based mediation in TSIMMIS,"Chen Li, Ramana Yerneni, Vasilis Vassalos, Hector Garcia-Molina, Yannis Papakonstantinou, Jeffrey Ullman, Murty Valiveti",International Conference on Management of Data,1998
1849,,0,276375,The Araneus Web-based management system,"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",International Conference on Management of Data,1998
1317,0.976201,0,276376,CQ: a personalized update monitoring toolkit,"Ling Liu, Calton Pu, Wei Tang, David Buttler, John Biggs, Tong Zhou, Paul Benninghoff, Wei Han, Fenghua Yu",International Conference on Management of Data,1998
1355,0.975418,0,276377,DataSplash,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",International Conference on Management of Data,1998
1772,0.879782,0,276378,Microsoft index turning wizard for SQL Server 7.0,"Surajit Chaudhuri, Vivek Narasayya",International Conference on Management of Data,1998
1242,0.977062,0,276371,Olympic records for data at the 1998 Nagano games,Edwin R. Lassettre,International Conference on Management of Data,1998
1077,0.978527,0,276372,Delivering high availability for Inktomi search engines,Eric A. Brewer,International Conference on Management of Data,1998
1187,0.977525,0,276373,Microsoft.com: a high-scale data management and transaction processing solution,Sherri Kennamer,International Conference on Management of Data,1998
948,0.980244,0,276374,Free parallel data mining,"Bin Li, Dennis Shasha",International Conference on Management of Data,1998
1021,0.979068,0,276370,Real business processing meets the Web,James Chong,International Conference on Management of Data,1998
1133,0.978013,0,276369,"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",International Conference on Management of Data,1998
1075,0.978527,0,276368,FileNet integrated document management database usage and issues,Daniel S. Whelan,International Conference on Management of Data,1998
1074,0.978527,0,276367,About Quark Digital Media System,Kamar Aulakh,International Conference on Management of Data,1998
1578,0.960469,0,276366,"50,000 users on an Oracle8 universal server database","Tirthankar Lahiri, Ashok Joshi, Amit Jasuja, Sumanta Chatterjee",International Conference on Management of Data,1998
1277,0.976621,0,276365,Oracle Rdb's record caching model,"Richard Anderson, Gopalan Arun, Richard Frank",International Conference on Management of Data,1998
1359,0.975055,0,276364,A data mining application: customer retention at the Port of Singapore Authority (PSA),"KianSing Ng, Huan Liu, HweeBong Kwah",International Conference on Management of Data,1998
1201,0.97715,0,276362,Transactional publish/subscribe: the proactive multicast of database changes (abstract),Arvola Chan,International Conference on Management of Data,1998
1850,,0,276361,The PointCast network (abstract),"Satish Ramakrishnan, Vibha Dayal",International Conference on Management of Data,1998
1851,,0,276360,Data in your face: push technology in perspective,"Michael Franklin, Stan Zdonik",International Conference on Management of Data,1998
1852,,0,276359,"Ubiquitous, self-tuning, scalable servers",Peter Spiro,International Conference on Management of Data,1998
1127,0.978013,0,276358,Database systems management and Oracle8,C. Gregory Doherty,International Conference on Management of Data,1998
1017,0.979068,0,276357,Managing large systems with DB2 UDB,Chris Eaton,International Conference on Management of Data,1998
1238,0.977062,0,276356,SQL open heterogeneous data access,"Berthold Reinwald, Hamid Pirahesh",International Conference on Management of Data,1998
1853,,0,276355,Enterprise Java platform data access,"Seth White, Rick Cattell, Shel Finkelstein",International Conference on Management of Data,1998
1854,,0,276354,Microsoft universal data access platform,"Jos&#233; A. Blakeley, Michael J. Pizzo",International Conference on Management of Data,1998
1855,,0,276352,Java and relational databases (tutorial): SQLJ,"Gray Clossman, Phil Shaw, Mark Hapner, Johannes Klein, Richard Pledereder, Brian Becker",International Conference on Management of Data,1998
1274,0.976621,0,276353,High-dimensional index structures database support for next decade's applications (tutorial),"Stefan Berchtold, Daniel A. Keim",International Conference on Management of Data,1998
1016,0.979068,0,276350,Electronic commerce: tutorial,"Nabil R. Adam, Yelena Yesha",International Conference on Management of Data,1998
1856,,0,276351,SAP R/3 (tutorial): a database application system,"Alfons Kemper, Donald Kossmann, Florian Matthes",International Conference on Management of Data,1998
